04.04.2023 7:47:38 File not exist; http://127.0.0.1:8080/; 127.0.0.1:57041; Status code:404
04.04.2023 7:48:07 File not exist; http://127.0.0.1:8080/Sample Web Page/Sample Web Page.html; 127.0.0.1:57041; Status code:404
04.04.2023 7:53:11 File not exist; http://127.0.0.1:8080/Sample_Web_Page/Sample_Web_Page.html; 127.0.0.1:57131; Status code:404
04.04.2023 7:54:24 File not exist; http://127.0.0.1:8080/Sample_Web_Page/Sample_Web_Page.html; 127.0.0.1:57134; Status code:404
04.04.2023 7:56:26 File not exist; http://127.0.0.1:8080/Sample_Web_Page/Sample_Web_Page.html; 127.0.0.1:57134; Status code:404
04.04.2023 7:57:33 File not exist; http://127.0.0.1:8080/Sample_Web_Page; 127.0.0.1:57222; Status code:404
04.04.2023 7:57:37 File not exist; http://127.0.0.1:8080/Sample_Web_Page.html; 127.0.0.1:57222; Status code:404
04.04.2023 7:57:47 File not exist; http://127.0.0.1:8080/Sample_Web_Page.html; 127.0.0.1:57222; Status code:404
04.04.2023 7:59:11 File not exist; http://127.0.0.1:8080/Sample_Web_Page.html; 127.0.0.1:57225; Status code:404
04.04.2023 7:59:16 File not exist; http://127.0.0.1:8080/Sample_Web_Page.html; 127.0.0.1:57229; Status code:404
04.04.2023 7:59:46 File not exist; http://127.0.0.1:8080/Sample_Web_Page.html; 127.0.0.1:57225; Status code:404
04.04.2023 8:00:17 File exist; http://127.0.0.1:8080/Sample_Web_Page.html; 127.0.0.1:57231; Status code:200
04.04.2023 8:00:17 File exist; http://127.0.0.1:8080/Sample_Web_Page_files/picture-of-something.jpg; 127.0.0.1:57231; Status code:200
04.04.2023 8:00:17 File not exist; http://127.0.0.1:8080/favicon.ico; 127.0.0.1:57231; Status code:404
04.04.2023 8:00:22 File exist; http://127.0.0.1:8080/Sample_Web_Page.html; 127.0.0.1:57234; Status code:200
04.04.2023 8:00:22 File exist; http://127.0.0.1:8080/Sample_Web_Page_files/picture-of-something.jpg; 127.0.0.1:57234; Status code:200
04.04.2023 8:00:23 File not exist; http://127.0.0.1:8080/favicon.ico; 127.0.0.1:57234; Status code:404
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/bootstrap.min.css; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/style.css; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/responsive.css; 127.0.0.1:57352; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/custom.css; 127.0.0.1:57353; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/js/modernizer.js; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/animate.css; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/flaticon.css; 127.0.0.1:57353; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/icomoon.css; 127.0.0.1:57353; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/prettyPhoto.css; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/owl.carousel.css; 127.0.0.1:57352; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/css/font-awesome.min.css; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/js/all.js; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/js/custom.js; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/js/portfolio.js; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/js/hoverdir.js; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/images/logos/logo.png; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/about_01.jpg; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/about_02.jpg; 127.0.0.1:57352; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/service_01.jpg; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/service_02.jpg; 127.0.0.1:57353; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/service_03.jpg; 127.0.0.1:57354; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/service_04.jpg; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/device_03.png; 127.0.0.1:57355; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/ipad.png; 127.0.0.1:57352; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/testi_01.png; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/testi_02.png; 127.0.0.1:57353; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/testi_03.png; 127.0.0.1:57354; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/fonts/fontawesome-webfont.woff2?v=4.6.3; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/logo_01.png; 127.0.0.1:57355; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/logo_02.png; 127.0.0.1:57352; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/logo_03.png; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/logo_04.png; 127.0.0.1:57353; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/logo_05.png; 127.0.0.1:57354; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/fonts/Flaticon.woff; 127.0.0.1:57351; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/logo_06.png; 127.0.0.1:57355; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/images/logos/logo-2.png; 127.0.0.1:57352; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/parallax_04.jpg; 127.0.0.1:57350; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/parallax_05.png; 127.0.0.1:57353; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/parallax_03.jpg; 127.0.0.1:57354; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/slider_01.jpg; 127.0.0.1:57354; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/slider_02.jpg; 127.0.0.1:57353; Status code:200
04.04.2023 8:04:41 File exist; http://127.0.0.1:8080/uploads/slider_03.jpg; 127.0.0.1:57350; Status code:200
